Index: 10, True: plane, LeNet: deer, ResLeNet: plane
Index: 12, True: dog, LeNet: deer, ResLeNet: dog
Index: 17, True: horse, LeNet: truck, ResLeNet: horse
Index: 25, True: bird, LeNet: deer, ResLeNet: bird
Index: 27, True: plane, LeNet: deer, ResLeNet: plane
Index: 33, True: dog, LeNet: cat, ResLeNet: dog
Index: 40, True: deer, LeNet: plane, ResLeNet: deer
Index: 57, True: horse, LeNet: dog, ResLeNet: horse
Index: 63, True: cat, LeNet: plane, ResLeNet: cat
Index: 67, True: bird, LeNet: plane, ResLeNet: bird
Index: 71, True: frog, LeNet: cat, ResLeNet: frog
Index: 76, True: truck, LeNet: bird, ResLeNet: truck
Index: 86, True: bird, LeNet: dog, ResLeNet: bird
Index: 87, True: horse, LeNet: ship, ResLeNet: horse
Index: 101, True: dog, LeNet: horse, ResLeNet: dog
Index: 106, True: cat, LeNet: bird, ResLeNet: cat
Index: 119, True: horse, LeNet: dog, ResLeNet: horse
Index: 125, True: plane, LeNet: truck, ResLeNet: plane
Index: 126, True: ship, LeNet: bird, ResLeNet: ship
Index: 127, True: cat, LeNet: dog, ResLeNet: cat
Index: 129, True: bird, LeNet: deer, ResLeNet: bird
Index: 132, True: ship, LeNet: truck, ResLeNet: ship
Index: 135, True: bird, LeNet: cat, ResLeNet: bird
Index: 138, True: bird, LeNet: deer, ResLeNet: bird
Index: 143, True: cat, LeNet: dog, ResLeNet: cat
Index: 145, True: horse, LeNet: bird, ResLeNet: horse
Index: 149, True: bird, LeNet: dog, ResLeNet: bird
Index: 151, True: truck, LeNet: car, ResLeNet: truck
Index: 156, True: bird, LeNet: cat, ResLeNet: bird
Index: 168, True: dog, LeNet: truck, ResLeNet: dog
Index: 176, True: cat, LeNet: dog, ResLeNet: cat
Index: 179, True: plane, LeNet: truck, ResLeNet: plane
Index: 183, True: bird, LeNet: frog, ResLeNet: bird
Index: 184, True: cat, LeNet: plane, ResLeNet: cat
Index: 195, True: bird, LeNet: deer, ResLeNet: bird
Index: 209, True: truck, LeNet: ship, ResLeNet: truck
Index: 210, True: horse, LeNet: cat, ResLeNet: horse
Index: 216, True: horse, LeNet: deer, ResLeNet: horse
Index: 221, True: frog, LeNet: cat, ResLeNet: frog
Index: 223, True: deer, LeNet: dog, ResLeNet: deer
Index: 226, True: frog, LeNet: cat, ResLeNet: frog
Index: 233, True: ship, LeNet: car, ResLeNet: ship
Index: 239, True: dog, LeNet: cat, ResLeNet: dog
Index: 242, True: ship, LeNet: car, ResLeNet: ship
Index: 245, True: cat, LeNet: bird, ResLeNet: cat
Index: 249, True: bird, LeNet: deer, ResLeNet: bird
Index: 254, True: deer, LeNet: bird, ResLeNet: deer
Index: 258, True: plane, LeNet: ship, ResLeNet: plane
Index: 260, True: ship, LeNet: frog, ResLeNet: ship
Index: 262, True: dog, LeNet: cat, ResLeNet: dog
Index: 269, True: plane, LeNet: cat, ResLeNet: plane
Index: 270, True: bird, LeNet: deer, ResLeNet: bird
Index: 271, True: cat, LeNet: dog, ResLeNet: cat
Index: 279, True: cat, LeNet: dog, ResLeNet: cat
Index: 281, True: plane, LeNet: car, ResLeNet: plane
Index: 282, True: frog, LeNet: cat, ResLeNet: frog
Index: 294, True: cat, LeNet: dog, ResLeNet: cat
Index: 295, True: deer, LeNet: bird, ResLeNet: deer
Index: 303, True: bird, LeNet: car, ResLeNet: bird
Index: 304, True: frog, LeNet: bird, ResLeNet: frog
Index: 306, True: ship, LeNet: truck, ResLeNet: ship
Index: 310, True: ship, LeNet: car, ResLeNet: ship
Index: 312, True: ship, LeNet: plane, ResLeNet: ship
Index: 323, True: cat, LeNet: deer, ResLeNet: cat
Index: 324, True: deer, LeNet: horse, ResLeNet: deer
Index: 325, True: car, LeNet: frog, ResLeNet: car
Index: 340, True: bird, LeNet: deer, ResLeNet: bird
Index: 344, True: ship, LeNet: plane, ResLeNet: ship
Index: 356, True: cat, LeNet: dog, ResLeNet: cat
Index: 357, True: bird, LeNet: cat, ResLeNet: bird
Index: 365, True: deer, LeNet: plane, ResLeNet: deer
Index: 370, True: deer, LeNet: bird, ResLeNet: deer
Index: 388, True: bird, LeNet: cat, ResLeNet: bird
Index: 399, True: cat, LeNet: car, ResLeNet: cat
Index: 401, True: ship, LeNet: car, ResLeNet: ship
Index: 412, True: cat, LeNet: dog, ResLeNet: cat
Index: 416, True: plane, LeNet: cat, ResLeNet: plane
Index: 417, True: horse, LeNet: dog, ResLeNet: horse
Index: 421, True: dog, LeNet: cat, ResLeNet: dog
Index: 430, True: bird, LeNet: deer, ResLeNet: bird
Index: 436, True: bird, LeNet: frog, ResLeNet: bird
Index: 437, True: dog, LeNet: bird, ResLeNet: dog
Index: 438, True: cat, LeNet: dog, ResLeNet: cat
Index: 443, True: truck, LeNet: ship, ResLeNet: truck
Index: 445, True: horse, LeNet: bird, ResLeNet: horse
Index: 450, True: bird, LeNet: frog, ResLeNet: bird
Index: 451, True: truck, LeNet: ship, ResLeNet: truck
Index: 452, True: horse, LeNet: dog, ResLeNet: horse
Index: 453, True: cat, LeNet: deer, ResLeNet: cat
Index: 459, True: frog, LeNet: bird, ResLeNet: frog
Index: 460, True: dog, LeNet: bird, ResLeNet: dog
Index: 463, True: deer, LeNet: dog, ResLeNet: deer
Index: 474, True: dog, LeNet: bird, ResLeNet: dog
Index: 480, True: ship, LeNet: truck, ResLeNet: ship
Index: 508, True: truck, LeNet: car, ResLeNet: truck
Index: 513, True: car, LeNet: truck, ResLeNet: car
Index: 515, True: cat, LeNet: dog, ResLeNet: cat
Index: 518, True: dog, LeNet: horse, ResLeNet: dog
Index: 525, True: dog, LeNet: cat, ResLeNet: dog
Index: 526, True: plane, LeNet: ship, ResLeNet: plane
Index: 529, True: frog, LeNet: bird, ResLeNet: frog
Index: 539, True: plane, LeNet: truck, ResLeNet: plane
Index: 556, True: frog, LeNet: cat, ResLeNet: frog
Index: 563, True: bird, LeNet: frog, ResLeNet: bird
Index: 565, True: cat, LeNet: dog, ResLeNet: cat
Index: 566, True: truck, LeNet: plane, ResLeNet: truck
Index: 568, True: truck, LeNet: frog, ResLeNet: truck
Index: 569, True: bird, LeNet: deer, ResLeNet: bird
Index: 573, True: cat, LeNet: dog, ResLeNet: cat
Index: 577, True: truck, LeNet: ship, ResLeNet: truck
Index: 597, True: cat, LeNet: bird, ResLeNet: cat
Index: 607, True: cat, LeNet: dog, ResLeNet: cat
Index: 614, True: dog, LeNet: cat, ResLeNet: dog
Index: 629, True: car, LeNet: ship, ResLeNet: car
Index: 631, True: dog, LeNet: bird, ResLeNet: dog
Index: 636, True: ship, LeNet: car, ResLeNet: ship
Index: 640, True: dog, LeNet: cat, ResLeNet: dog
Index: 651, True: truck, LeNet: frog, ResLeNet: truck
Index: 653, True: frog, LeNet: deer, ResLeNet: frog
Index: 669, True: cat, LeNet: bird, ResLeNet: cat
Index: 671, True: cat, LeNet: dog, ResLeNet: cat
Index: 677, True: car, LeNet: truck, ResLeNet: car
Index: 678, True: plane, LeNet: cat, ResLeNet: plane
Index: 680, True: truck, LeNet: car, ResLeNet: truck
Index: 684, True: truck, LeNet: frog, ResLeNet: truck
Index: 687, True: frog, LeNet: bird, ResLeNet: frog
Index: 690, True: cat, LeNet: deer, ResLeNet: cat
Index: 692, True: bird, LeNet: plane, ResLeNet: bird
Index: 696, True: ship, LeNet: plane, ResLeNet: ship
Index: 697, True: bird, LeNet: plane, ResLeNet: bird
Index: 704, True: horse, LeNet: truck, ResLeNet: horse
Index: 706, True: bird, LeNet: plane, ResLeNet: bird
Index: 710, True: frog, LeNet: cat, ResLeNet: frog
Index: 720, True: deer, LeNet: horse, ResLeNet: deer
Index: 737, True: deer, LeNet: plane, ResLeNet: deer
Index: 742, True: plane, LeNet: truck, ResLeNet: plane
Index: 748, True: bird, LeNet: cat, ResLeNet: bird
Index: 766, True: horse, LeNet: cat, ResLeNet: horse
Index: 767, True: plane, LeNet: truck, ResLeNet: plane
Index: 770, True: frog, LeNet: horse, ResLeNet: frog
Index: 771, True: car, LeNet: truck, ResLeNet: car
Index: 773, True: deer, LeNet: frog, ResLeNet: deer
Index: 782, True: horse, LeNet: dog, ResLeNet: horse
Index: 785, True: plane, LeNet: ship, ResLeNet: plane
Index: 790, True: cat, LeNet: plane, ResLeNet: cat
Index: 792, True: cat, LeNet: truck, ResLeNet: cat
Index: 794, True: horse, LeNet: bird, ResLeNet: horse
Index: 802, True: deer, LeNet: bird, ResLeNet: deer
Index: 806, True: ship, LeNet: plane, ResLeNet: ship
Index: 807, True: deer, LeNet: frog, ResLeNet: deer
Index: 814, True: plane, LeNet: truck, ResLeNet: plane
Index: 817, True: dog, LeNet: cat, ResLeNet: dog
Index: 818, True: ship, LeNet: truck, ResLeNet: ship
Index: 825, True: cat, LeNet: frog, ResLeNet: cat
